,timestamp,message type,message
1355,14743,Sendyne,"[1, '0x0', '0x60', ' ', 'Voltage 1', ' ', 4232.443186, ' ', [96, 252, 69, 245, 50]]"
1356,14757,PDM_Heartbeat,0b11100111011101110111111111011011
1357,14767,AMS_Heartbeat,"['runtime: 3351 ', 'voltage: 3271 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
1358,14785,SHDN_Heartbeat,"[1, '0b0']"
1359,14787,SHDN_Heartbeat,"[1, '0b1']"
1360,14793,Sendyne,"[0, '0x0', '0x40', ' ', 'Coulomb Count (Low)', ' ', 975057, ' ', [64, 0, 14, 224, 209]]"
1361,14794,Sendyne,"[0, '0x0', '0x41', ' ', 'Coulomb Count (High)', ' ', 0, ' ', [65, 0, 0, 0, 0]]"
1362,14808,PDM_Heartbeat,0b11100111011101110111111111011011
1363,14842,AMS_Heartbeat,"['runtime: 3351 ', 'voltage: 3271 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
1364,14857,PDM_Heartbeat,0b11100111011101110111111111011011
1365,14860,SHDN_Heartbeat,"[1, '0b0']"
1366,14861,SHDN_Heartbeat,"[1, '0b1']"
1367,14908,PDM_Heartbeat,0b11100111011101110111111111011011
1368,14917,AMS_Heartbeat,"['runtime: 3351 ', 'voltage: 3271 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
1369,14935,SHDN_Heartbeat,"[1, '0b0']"
1370,14936,SHDN_Heartbeat,"[1, '0b1']"
1371,14942,CC_RTD,
1372,14942,CC_RTD,
1373,14942,CC_RTD,
1374,14942,PDM_SetChannels,0b11101111111101111111111111011011
1375,14947,PDM_SetDutyCycle,"['CHANNEL: ', 7, 'DUTY_CYCLE: ', 100]"
1376,14947,PDM_SetDutyCycle,"['CHANNEL: ', 11, 'DUTY_CYCLE: ', 100]"
1377,14947,PDM_SetDutyCycle,"['CHANNEL: ', 7, 'DUTY_CYCLE: ', 100]"
1378,14947,CC_Inverter,"['0x64', '0b100000', '0x2015', 'SetBool', 1, '0b11111111111111111111111111111111']"
1379,14947,CC_Inverter,"['0x65', '0b100000', '0x2015', 'SetBool', 1, '0b11111111111111111111111111111111']"
1380,14957,PDM_Heartbeat,0b11100111011101111111111111011011
1381,14981,PDM_SetChannels,0b11101111111101111111111111011111
1382,14992,AMS_Heartbeat,"['runtime: 3351 ', 'voltage: 3187 ', 'HVAn: True, HVAp: True, HVBn: True, HVABp: True, precharge: False, init: False']"
1383,14994,Sendyne,"[1, '0x0', '0x20', ' ', 'Current', ' ', 0.130436, ' ', [32, 0, 1, 253, 132]]"
1384,14994,Sendyne,"[0, '0x0', '0x20', ' ', 'Current', ' ', 0.130436, ' ', [32, 0, 1, 253, 132]]"
1385,15008,PDM_Heartbeat,0b11100111011101111111111111011111
1386,15010,SHDN_Heartbeat,"[1, '0b0']"
1387,15011,SHDN_Heartbeat,"[1, '0b1']"
