timestamp,message type,message
1862,BMS_TransmitTemperature,"['BMSID: ', 2, ' MSGID: ', 0, ' TEMPS: ', '100, 161, 135, 81, 22']"
1862,BMS_TransmitTemperature,"['BMSID: ', 2, ' MSGID: ', 1, ' TEMPS: ', '24, 22, 23, 24, 24']"
1869,AMS_Heartbeat,"['runtime: 13 ', 'voltage: 0 ', 'HVAn: False, HVAp: False, HVBn: False, HVABp: False, precharge: False, init: False']"
1872,PDM_Heartbeat,0b11100110011001110111111101011011
1877,BMS_TransmitVoltage,"['ID: ', 2, ' ', 'MSG_ID: ', 0, ' VOLT: ', '3320, 3334, 3335, 3334']"
1877,BMS_TransmitVoltage,"['ID: ', 2, ' ', 'MSG_ID: ', 1, ' VOLT: ', '3333, 3319, 3335, 3335']"
1878,BMS_TransmitVoltage,"['ID: ', 2, ' ', 'MSG_ID: ', 2, ' VOLT: ', '3335, 3322, 0, 0']"
1906,SHDN_Heartbeat,"[1, '0b1']"
1911,SHDN_Heartbeat,"[1, '0b11111111']"
1920,BMS_TransmitTemperature,"['BMSID: ', 1, ' MSGID: ', 0, ' TEMPS: ', '22, 23, 23, 23, 23']"
1922,PDM_Heartbeat,0b11100110011001110111111101011011
1927,BMS_TransmitTemperature,"['BMSID: ', 1, ' MSGID: ', 1, ' TEMPS: ', '23, 22, 25, 23, 24']"
1928,BMS_TransmitVoltage,"['ID: ', 1, ' ', 'MSG_ID: ', 0, ' VOLT: ', '3326, 3338, 3338, 3338']"
1928,BMS_TransmitVoltage,"['ID: ', 1, ' ', 'MSG_ID: ', 2, ' VOLT: ', '3331, 3324, 0, 0']"
1928,BMS_TransmitVoltage,"['ID: ', 1, ' ', 'MSG_ID: ', 1, ' VOLT: ', '3333, 3319, 3335, 3333']"
1938,AMS_Heartbeat,"['runtime: 10 ', 'voltage: 3328 ', 'HVAn: False, HVAp: False, HVBn: False, HVABp: False, precharge: False, init: False']"
1944,BMS_TransmitTemperature,"['BMSID: ', 3, ' MSGID: ', 0, ' TEMPS: ', '22, 23, 23, 24, 22']"
1944,BMS_TransmitTemperature,"['BMSID: ', 3, ' MSGID: ', 1, ' TEMPS: ', '24, 22, 23, 23, 24']"
1956,SHDN_Triggered,
1956,SHDN_Triggered,
1956,SHDN_Triggered,
